"Date","Open","High","Low","Close","Volume"
"2019-12-13",87.22000122070312,89.08699798583984,86.20999908447266,87.83999633789062,33051755
"2019-12-06",87.83999633789062,88.02999877929688,85.58999633789062,86.9800033569336,34895604
"2019-11-29",86.8499984741211,88.80999755859375,86.05999755859375,87.7300033569336,23712920
"2019-11-22",88.33999633789062,90.41000366210938,85.30999755859375,86.05000305175781,41636010
"2019-11-15",84.94999694824219,89.19000244140625,83.9000015258789,88.62999725341797,40373075
"2019-11-08",82.94999694824219,85.45999908447266,80.3499984741211,85.20999908447266,43833405
"2019-11-01",76.66999816894531,82.18000030517578,76.48999786376953,81.75,44126002
"2019-10-25",76.87999725341797,78.66000366210938,75.8499984741211,76.52999877929688,32771541
"2019-10-18",73.6500015258789,77.16500091552734,73.38999938964844,76.45999908447266,36545953
"2019-10-11",74.72000122070312,75.2699966430664,73.19999694824219,73.62999725341797,32530686
"2019-10-04",74.94999694824219,76.44000244140625,71.56999969482422,74.66000366210938,40959356
"2019-09-27",72.33000183105469,75.13999938964844,72.0199966430664,74.8499984741211,40448513
"2019-09-20",70.37000274658203,73.,69.722900390625,72.38999938964844,39930333
"2019-09-13",67.95999908447266,71.51000213623047,65.6500015258789,70.51000213623047,48531356
"2019-09-06",65.77999877929688,68.12000274658203,64.44000244140625,67.62000274658203,30642516
"2019-08-30",66.43000030517578,67.02999877929688,65.4000015258789,65.73999786376953,31737247
"2019-08-23",65.04000091552734,68.46199798583984,64.9749984741211,65.97000122070312,44887764
"2019-08-16",65.23999786376953,65.92500305175781,62.65999984741211,64.43000030517578,39856662
"2019-08-09",64.9800033569336,66.87000274658203,63.310001373291016,65.58000183105469,50720736
"2019-08-02",67.87000274658203,68.41000366210938,65.02999877929688,65.3499984741211,52321488
"2019-07-26",68.5,69.13999938964844,66.5,67.76000213623047,55245469
"2019-07-19",70.30999755859375,71.0199966430664,68.,68.54000091552734,50980227
"2019-07-12",72.5199966430664,73.,68.54000091552734,70.27999877929688,60394442
"2019-07-05",73.5,74.97000122070312,72.27999877929688,72.98999786376953,49259363
"2019-06-28",78.41000366210938,79.30999755859375,65.05500030517578,72.72000122070312,180919037
"2019-06-21",78.4000015258789,79.19999694824219,76.43000030517578,78.77999877929688,30527841
"2019-06-14",77.45999908447266,79.33999633789062,76.5999984741211,78.69000244140625,19346156
"2019-06-07",76.62999725341797,78.37999725341797,73.80999755859375,77.43000030517578,27548350
"2019-05-31",80.,80.0999984741211,76.4000015258789,76.70999908447266,18276378
"2019-05-24",79.0199966430664,81.75,78.91000366210938,80.05999755859375,20629283
"2019-05-17",76.30000305175781,80.75,76.16999816894531,79.45999908447266,25181163
"2019-05-10",77.75,79.5199966430664,75.62000274658203,77.44999694824219,22033497
"2019-05-03",80.45999908447266,80.97599792480469,77.5999984741211,78.70999908447266,30777460
